,gene_ids,feature_types,n_cells
GRCh38___TNFRSF1B,GRCh38___ENSG00000028137,Gene Expression,40277
GRCh38___VPS13D,GRCh38___ENSG00000048707,Gene Expression,10654
GRCh38___AC243836.1,GRCh38___ENSG00000229484,Gene Expression,7
GRCh38___DHRS3,GRCh38___ENSG00000162496,Gene Expression,3815
GRCh38___AC254633.1,GRCh38___ENSG00000272482,Gene Expression,218
GRCh38___PRDM2,GRCh38___ENSG00000116731,Gene Expression,20450
GRCh38___KAZN,GRCh38___ENSG00000189337,Gene Expression,19
GRCh38___TMEM51-AS1,GRCh38___ENSG00000175147,Gene Expression,14
GRCh38___TMEM51,GRCh38___ENSG00000171729,Gene Expression,1362
GRCh38___FHAD1,GRCh38___ENSG00000142621,Gene Expression,345
GRCh38___AL031283.2,GRCh38___ENSG00000233485,Gene Expression,13
GRCh38___AL031283.1,GRCh38___ENSG00000228140,Gene Expression,850
GRCh38___EFHD2,GRCh38___ENSG00000142634,Gene Expression,48593
GRCh38___CTRC,GRCh38___ENSG00000162438,Gene Expression,133
GRCh38___CELA2A,GRCh38___ENSG00000142615,Gene Expression,11
GRCh38___CASP9,GRCh38___ENSG00000132906,Gene Expression,6071
GRCh38___DNAJC16,GRCh38___ENSG00000116138,Gene Expression,2730
GRCh38___AL121992.3,GRCh38___ENSG00000272510,Gene Expression,13
GRCh38___AGMAT,GRCh38___ENSG00000116771,Gene Expression,2041
GRCh38___AL121992.1,GRCh38___ENSG00000237301,Gene Expression,53
GRCh38___DDI2,GRCh38___ENSG00000197312,Gene Expression,6429
GRCh38___AL121992.2,GRCh38___ENSG00000271742,Gene Expression,32
GRCh38___PLEKHM2,GRCh38___ENSG00000116786,Gene Expression,8076
GRCh38___SLC25A34,GRCh38___ENSG00000162461,Gene Expression,322
GRCh38___FBLIM1,GRCh38___ENSG00000162458,Gene Expression,5
GRCh38___UQCRHL,GRCh38___ENSG00000233954,Gene Expression,914
GRCh38___AL450998.2,GRCh38___ENSG00000179743,Gene Expression,5880
GRCh38___SPEN,GRCh38___ENSG00000065526,Gene Expression,17233
GRCh38___ZBTB17,GRCh38___ENSG00000116809,Gene Expression,9269
GRCh38___CLCNKA,GRCh38___ENSG00000186510,Gene Expression,7
GRCh38___CLCNKB,GRCh38___ENSG00000184908,Gene Expression,3
GRCh38___FAM131C,GRCh38___ENSG00000185519,Gene Expression,4
