,gene_ids,feature_types,n_cells
GRCh38___OS9,GRCh38___ENSG00000135506,Gene Expression,36108
GRCh38___AC025165.2,GRCh38___ENSG00000257342,Gene Expression,124
GRCh38___AGAP2,GRCh38___ENSG00000135439,Gene Expression,5859
GRCh38___AGAP2-AS1,GRCh38___ENSG00000255737,Gene Expression,168
GRCh38___TSPAN31,GRCh38___ENSG00000135452,Gene Expression,6650
GRCh38___CDK4,GRCh38___ENSG00000135446,Gene Expression,11372
GRCh38___MARCH9,GRCh38___ENSG00000139266,Gene Expression,2146
GRCh38___CYP27B1,GRCh38___ENSG00000111012,Gene Expression,150
GRCh38___METTL1,GRCh38___ENSG00000037897,Gene Expression,2135
GRCh38___EEF1AKMT3,GRCh38___ENSG00000123427,Gene Expression,657
GRCh38___AC025165.3,GRCh38___ENSG00000257921,Gene Expression,9
GRCh38___TSFM,GRCh38___ENSG00000123297,Gene Expression,11104
GRCh38___AVIL,GRCh38___ENSG00000135407,Gene Expression,162
GRCh38___AC025165.5,GRCh38___ENSG00000270039,Gene Expression,17
GRCh38___AC025165.4,GRCh38___ENSG00000269903,Gene Expression,7
GRCh38___CTDSP2,GRCh38___ENSG00000175215,Gene Expression,7542
GRCh38___AC083805.2,GRCh38___ENSG00000257953,Gene Expression,5
GRCh38___AC084033.3,GRCh38___ENSG00000257698,Gene Expression,3536
GRCh38___ATP23,GRCh38___ENSG00000166896,Gene Expression,2715
GRCh38___SLC16A7,GRCh38___ENSG00000118596,Gene Expression,11131
GRCh38___FAM19A2,GRCh38___ENSG00000198673,Gene Expression,1090
GRCh38___USP15,GRCh38___ENSG00000135655,Gene Expression,57918
GRCh38___MON2,GRCh38___ENSG00000061987,Gene Expression,20927
GRCh38___LINC01465,GRCh38___ENSG00000221949,Gene Expression,841
GRCh38___AC048341.1,GRCh38___ENSG00000257354,Gene Expression,951
GRCh38___AC048341.2,GRCh38___ENSG00000275180,Gene Expression,226
GRCh38___PPM1H,GRCh38___ENSG00000111110,Gene Expression,127
GRCh38___AVPR1A,GRCh38___ENSG00000166148,Gene Expression,70
GRCh38___DPY19L2,GRCh38___ENSG00000177990,Gene Expression,116
GRCh38___RXYLT1,GRCh38___ENSG00000118600,Gene Expression,3475
GRCh38___SRGAP1,GRCh38___ENSG00000196935,Gene Expression,401
GRCh38___C12orf66,GRCh38___ENSG00000174206,Gene Expression,2820
GRCh38___C12orf56,GRCh38___ENSG00000185306,Gene Expression,8
GRCh38___XPOT,GRCh38___ENSG00000184575,Gene Expression,7272
GRCh38___AC135279.3,GRCh38___ENSG00000277895,Gene Expression,339
GRCh38___TBK1,GRCh38___ENSG00000183735,Gene Expression,17591
GRCh38___RASSF3,GRCh38___ENSG00000153179,Gene Expression,5403
GRCh38___AC078962.4,GRCh38___ENSG00000256670,Gene Expression,3
GRCh38___AC078962.3,GRCh38___ENSG00000256314,Gene Expression,3
GRCh38___GNS,GRCh38___ENSG00000135677,Gene Expression,12309
GRCh38___AC025262.1,GRCh38___ENSG00000215159,Gene Expression,29
GRCh38___TBC1D30,GRCh38___ENSG00000111490,Gene Expression,137
GRCh38___LEMD3,GRCh38___ENSG00000174106,Gene Expression,11738
GRCh38___MSRB3,GRCh38___ENSG00000174099,Gene Expression,219
GRCh38___HMGA2,GRCh38___ENSG00000149948,Gene Expression,72
GRCh38___AC090673.1,GRCh38___ENSG00000197301,Gene Expression,102
GRCh38___LLPH,GRCh38___ENSG00000139233,Gene Expression,24702
GRCh38___LLPH-DT,GRCh38___ENSG00000239335,Gene Expression,400
GRCh38___TMBIM4,GRCh38___ENSG00000155957,Gene Expression,31070
GRCh38___IRAK3,GRCh38___ENSG00000090376,Gene Expression,10184
GRCh38___AC078889.1,GRCh38___ENSG00000256072,Gene Expression,3
GRCh38___HELB,GRCh38___ENSG00000127311,Gene Expression,16671
GRCh38___GRIP1,GRCh38___ENSG00000155974,Gene Expression,58
GRCh38___CAND1,GRCh38___ENSG00000111530,Gene Expression,20505
GRCh38___DYRK2,GRCh38___ENSG00000127334,Gene Expression,6211
GRCh38___AC078777.1,GRCh38___ENSG00000235872,Gene Expression,18
GRCh38___LINC02421,GRCh38___ENSG00000255970,Gene Expression,6
GRCh38___IFNG-AS1,GRCh38___ENSG00000255733,Gene Expression,865
GRCh38___IFNG,GRCh38___ENSG00000111537,Gene Expression,13843
GRCh38___IL26,GRCh38___ENSG00000111536,Gene Expression,14
GRCh38___IL22,GRCh38___ENSG00000127318,Gene Expression,4
GRCh38___MDM1,GRCh38___ENSG00000111554,Gene Expression,5052
GRCh38___LINC02384,GRCh38___ENSG00000251301,Gene Expression,4073
GRCh38___AC008033.3,GRCh38___ENSG00000273824,Gene Expression,50
GRCh38___RAP1B,GRCh38___ENSG00000127314,Gene Expression,62953
GRCh38___AC090061.1,GRCh38___ENSG00000247363,Gene Expression,482
GRCh38___NUP107,GRCh38___ENSG00000111581,Gene Expression,13498
GRCh38___SLC35E3,GRCh38___ENSG00000175782,Gene Expression,5037
GRCh38___MDM2,GRCh38___ENSG00000135679,Gene Expression,16430
GRCh38___AC025423.1,GRCh38___ENSG00000256325,Gene Expression,132
GRCh38___AC025423.4,GRCh38___ENSG00000257181,Gene Expression,1413
GRCh38___CPM,GRCh38___ENSG00000135678,Gene Expression,2075
GRCh38___CPSF6,GRCh38___ENSG00000111605,Gene Expression,19352
GRCh38___AC020656.2,GRCh38___ENSG00000274979,Gene Expression,281
GRCh38___LYZ,GRCh38___ENSG00000090382,Gene Expression,37229
GRCh38___AC020656.1,GRCh38___ENSG00000257764,Gene Expression,8530
GRCh38___YEATS4,GRCh38___ENSG00000127337,Gene Expression,9624
GRCh38___LINC02373,GRCh38___ENSG00000257507,Gene Expression,3
GRCh38___FRS2,GRCh38___ENSG00000166225,Gene Expression,9023
GRCh38___CCT2,GRCh38___ENSG00000166226,Gene Expression,30731
GRCh38___BEST3,GRCh38___ENSG00000127325,Gene Expression,4
GRCh38___AC025263.1,GRCh38___ENSG00000247131,Gene Expression,16
GRCh38___RAB3IP,GRCh38___ENSG00000127328,Gene Expression,3842
GRCh38___AC025159.1,GRCh38___ENSG00000257815,Gene Expression,14165
GRCh38___LINC01481,GRCh38___ENSG00000257613,Gene Expression,100
GRCh38___CNOT2,GRCh38___ENSG00000111596,Gene Expression,29300
GRCh38___KCNMB4,GRCh38___ENSG00000135643,Gene Expression,325
GRCh38___AC025569.1,GRCh38___ENSG00000258168,Gene Expression,13
GRCh38___PTPRB,GRCh38___ENSG00000127329,Gene Expression,15
GRCh38___PTPRR,GRCh38___ENSG00000153233,Gene Expression,15
GRCh38___ZFC3H1,GRCh38___ENSG00000133858,Gene Expression,36243
GRCh38___THAP2,GRCh38___ENSG00000173451,Gene Expression,10059
GRCh38___TMEM19,GRCh38___ENSG00000139291,Gene Expression,6242
GRCh38___RAB21,GRCh38___ENSG00000080371,Gene Expression,9031
GRCh38___AC089984.1,GRCh38___ENSG00000257410,Gene Expression,11
GRCh38___TBC1D15,GRCh38___ENSG00000121749,Gene Expression,12006
GRCh38___TRHDE,GRCh38___ENSG00000072657,Gene Expression,17
GRCh38___ATXN7L3B,GRCh38___ENSG00000253719,Gene Expression,23123
GRCh38___AC025257.1,GRCh38___ENSG00000257386,Gene Expression,621
GRCh38___AC073525.1,GRCh38___ENSG00000257434,Gene Expression,4
GRCh38___CAPS2,GRCh38___ENSG00000180881,Gene Expression,755
GRCh38___GLIPR1L1,GRCh38___ENSG00000173401,Gene Expression,63
GRCh38___GLIPR1L2,GRCh38___ENSG00000180481,Gene Expression,171
GRCh38___GLIPR1,GRCh38___ENSG00000139278,Gene Expression,34230
GRCh38___AC121761.1,GRCh38___ENSG00000257497,Gene Expression,306
GRCh38___KRR1,GRCh38___ENSG00000111615,Gene Expression,29692
GRCh38___PHLDA1,GRCh38___ENSG00000139289,Gene Expression,11837
GRCh38___AC011611.3,GRCh38___ENSG00000257453,Gene Expression,255
GRCh38___AC011611.4,GRCh38___ENSG00000257839,Gene Expression,179
GRCh38___NAP1L1,GRCh38___ENSG00000187109,Gene Expression,57501
GRCh38___BBS10,GRCh38___ENSG00000179941,Gene Expression,302
GRCh38___OSBPL8,GRCh38___ENSG00000091039,Gene Expression,41346
GRCh38___AC107032.2,GRCh38___ENSG00000257526,Gene Expression,6
GRCh38___ZDHHC17,GRCh38___ENSG00000186908,Gene Expression,8163
GRCh38___CSRP2,GRCh38___ENSG00000175183,Gene Expression,25
GRCh38___E2F7,GRCh38___ENSG00000165891,Gene Expression,1707
GRCh38___SYT1,GRCh38___ENSG00000067715,Gene Expression,140
GRCh38___PAWR,GRCh38___ENSG00000177425,Gene Expression,810
GRCh38___AC073569.2,GRCh38___ENSG00000258048,Gene Expression,7
GRCh38___PPP1R12A,GRCh38___ENSG00000058272,Gene Expression,40505
GRCh38___LIN7A,GRCh38___ENSG00000111052,Gene Expression,1963
GRCh38___ACSS3,GRCh38___ENSG00000111058,Gene Expression,58
GRCh38___LINC02426,GRCh38___ENSG00000257747,Gene Expression,56
GRCh38___CCDC59,GRCh38___ENSG00000133773,Gene Expression,39136
GRCh38___METTL25,GRCh38___ENSG00000127720,Gene Expression,4023
GRCh38___TMTC2,GRCh38___ENSG00000179104,Gene Expression,1520
GRCh38___C12orf50,GRCh38___ENSG00000165805,Gene Expression,17
GRCh38___C12orf29,GRCh38___ENSG00000133641,Gene Expression,6342
GRCh38___CEP290,GRCh38___ENSG00000198707,Gene Expression,8935
GRCh38___TMTC3,GRCh38___ENSG00000139324,Gene Expression,1718
GRCh38___KITLG,GRCh38___ENSG00000049130,Gene Expression,18
GRCh38___LINC02458,GRCh38___ENSG00000246363,Gene Expression,4
GRCh38___AC024909.1,GRCh38___ENSG00000257156,Gene Expression,8
GRCh38___DUSP6,GRCh38___ENSG00000139318,Gene Expression,21821
GRCh38___AC024909.2,GRCh38___ENSG00000274021,Gene Expression,1100
GRCh38___AC010201.2,GRCh38___ENSG00000271327,Gene Expression,6
GRCh38___POC1B,GRCh38___ENSG00000139323,Gene Expression,4831
GRCh38___GALNT4,GRCh38___ENSG00000257594,Gene Expression,542
GRCh38___POC1B-GALNT4,GRCh38___ENSG00000259075,Gene Expression,2083
GRCh38___POC1B-AS1,GRCh38___ENSG00000270344,Gene Expression,564
GRCh38___AC025034.1,GRCh38___ENSG00000258302,Gene Expression,26
GRCh38___ATP2B1,GRCh38___ENSG00000070961,Gene Expression,38242
GRCh38___ATP2B1-AS1,GRCh38___ENSG00000271614,Gene Expression,26130
GRCh38___LINC02399,GRCh38___ENSG00000257725,Gene Expression,4
GRCh38___AC126175.1,GRCh38___ENSG00000277738,Gene Expression,19
GRCh38___LINC02404,GRCh38___ENSG00000257893,Gene Expression,8
GRCh38___BTG1,GRCh38___ENSG00000133639,Gene Expression,72025
GRCh38___AC025164.1,GRCh38___ENSG00000245904,Gene Expression,6986
GRCh38___LINC02391,GRCh38___ENSG00000277851,Gene Expression,328
GRCh38___CLLU1OS,GRCh38___ENSG00000205057,Gene Expression,42
GRCh38___LINC02397,GRCh38___ENSG00000205056,Gene Expression,710
GRCh38___C12orf74,GRCh38___ENSG00000214215,Gene Expression,34
GRCh38___PLEKHG7,GRCh38___ENSG00000187510,Gene Expression,12
GRCh38___EEA1,GRCh38___ENSG00000102189,Gene Expression,11141
GRCh38___LINC02413,GRCh38___ENSG00000257345,Gene Expression,45
GRCh38___AC138123.1,GRCh38___ENSG00000257322,Gene Expression,16
GRCh38___AC124947.1,GRCh38___ENSG00000257252,Gene Expression,48
GRCh38___NUDT4,GRCh38___ENSG00000173598,Gene Expression,9310
GRCh38___UBE2N,GRCh38___ENSG00000177889,Gene Expression,36486
GRCh38___MRPL42,GRCh38___ENSG00000198015,Gene Expression,13590
GRCh38___SOCS2,GRCh38___ENSG00000120833,Gene Expression,1492
GRCh38___CRADD,GRCh38___ENSG00000169372,Gene Expression,4501
GRCh38___AC012464.3,GRCh38___ENSG00000271382,Gene Expression,11
GRCh38___PLXNC1,GRCh38___ENSG00000136040,Gene Expression,7287
GRCh38___AC123567.2,GRCh38___ENSG00000258035,Gene Expression,3
GRCh38___AC073655.1,GRCh38___ENSG00000258172,Gene Expression,6
GRCh38___AC073655.2,GRCh38___ENSG00000258365,Gene Expression,68
GRCh38___CEP83,GRCh38___ENSG00000173588,Gene Expression,3794
GRCh38___CEP83-DT,GRCh38___ENSG00000278916,Gene Expression,260
GRCh38___TMCC3,GRCh38___ENSG00000057704,Gene Expression,3217
GRCh38___NDUFA12,GRCh38___ENSG00000184752,Gene Expression,44596
GRCh38___NR2C1,GRCh38___ENSG00000120798,Gene Expression,11936
GRCh38___FGD6,GRCh38___ENSG00000180263,Gene Expression,2257
GRCh38___VEZT,GRCh38___ENSG00000028203,Gene Expression,8063
GRCh38___METAP2,GRCh38___ENSG00000111142,Gene Expression,28876
GRCh38___USP44,GRCh38___ENSG00000136014,Gene Expression,315
GRCh38___NTN4,GRCh38___ENSG00000074527,Gene Expression,76
GRCh38___AC090001.1,GRCh38___ENSG00000258343,Gene Expression,3
GRCh38___SNRPF,GRCh38___ENSG00000139343,Gene Expression,42197
GRCh38___CCDC38,GRCh38___ENSG00000165972,Gene Expression,41
GRCh38___AMDHD1,GRCh38___ENSG00000139344,Gene Expression,227
GRCh38___HAL,GRCh38___ENSG00000084110,Gene Expression,701
GRCh38___AC007298.2,GRCh38___ENSG00000257878,Gene Expression,15
GRCh38___LTA4H,GRCh38___ENSG00000111144,Gene Expression,27111
GRCh38___AC007298.1,GRCh38___ENSG00000257715,Gene Expression,29
GRCh38___ELK3,GRCh38___ENSG00000111145,Gene Expression,8297
GRCh38___AC008149.1,GRCh38___ENSG00000258177,Gene Expression,11
GRCh38___CDK17,GRCh38___ENSG00000059758,Gene Expression,27272
GRCh38___CFAP54,GRCh38___ENSG00000188596,Gene Expression,727
GRCh38___NEDD1,GRCh38___ENSG00000139350,Gene Expression,7855
GRCh38___LINC02453,GRCh38___ENSG00000245017,Gene Expression,239
GRCh38___TMPO-AS1,GRCh38___ENSG00000257167,Gene Expression,1419
GRCh38___TMPO,GRCh38___ENSG00000120802,Gene Expression,23995
GRCh38___SLC25A3,GRCh38___ENSG00000075415,Gene Expression,60525
GRCh38___IKBIP,GRCh38___ENSG00000166130,Gene Expression,3531
GRCh38___APAF1,GRCh38___ENSG00000120868,Gene Expression,8024
GRCh38___ANKS1B,GRCh38___ENSG00000185046,Gene Expression,278
GRCh38___UHRF1BP1L,GRCh38___ENSG00000111647,Gene Expression,14556
GRCh38___AC010203.2,GRCh38___ENSG00000257696,Gene Expression,19
GRCh38___ACTR6,GRCh38___ENSG00000075089,Gene Expression,11487
GRCh38___DEPDC4,GRCh38___ENSG00000166153,Gene Expression,127
GRCh38___SCYL2,GRCh38___ENSG00000136021,Gene Expression,8447
GRCh38___GAS2L3,GRCh38___ENSG00000139354,Gene Expression,833
GRCh38___UTP20,GRCh38___ENSG00000120800,Gene Expression,3795
GRCh38___ARL1,GRCh38___ENSG00000120805,Gene Expression,9077
GRCh38___AC063948.1,GRCh38___ENSG00000257543,Gene Expression,3
GRCh38___SPIC,GRCh38___ENSG00000166211,Gene Expression,53
GRCh38___MYBPC1,GRCh38___ENSG00000196091,Gene Expression,4
GRCh38___CHPT1,GRCh38___ENSG00000111666,Gene Expression,2987
GRCh38___SYCP3,GRCh38___ENSG00000139351,Gene Expression,100
GRCh38___GNPTAB,GRCh38___ENSG00000111670,Gene Expression,12474
GRCh38___DRAM1,GRCh38___ENSG00000136048,Gene Expression,5971
GRCh38___AC084398.2,GRCh38___ENSG00000257202,Gene Expression,6
GRCh38___WASHC3,GRCh38___ENSG00000120860,Gene Expression,17385
GRCh38___NUP37,GRCh38___ENSG00000075188,Gene Expression,7280
GRCh38___PARPBP,GRCh38___ENSG00000185480,Gene Expression,3418
GRCh38___PMCH,GRCh38___ENSG00000183395,Gene Expression,17
GRCh38___IGF1,GRCh38___ENSG00000017427,Gene Expression,28
GRCh38___ASCL1,GRCh38___ENSG00000139352,Gene Expression,8
GRCh38___C12orf42,GRCh38___ENSG00000179088,Gene Expression,1438
GRCh38___AC025265.1,GRCh38___ENSG00000257681,Gene Expression,12
GRCh38___NT5DC3,GRCh38___ENSG00000111696,Gene Expression,310
GRCh38___AC012555.1,GRCh38___ENSG00000257327,Gene Expression,5
GRCh38___HSP90B1,GRCh38___ENSG00000166598,Gene Expression,62059
GRCh38___C12orf73,GRCh38___ENSG00000204954,Gene Expression,3095
GRCh38___TDG,GRCh38___ENSG00000139372,Gene Expression,20655
GRCh38___GLT8D2,GRCh38___ENSG00000120820,Gene Expression,20
GRCh38___HCFC2,GRCh38___ENSG00000111727,Gene Expression,3641
GRCh38___NFYB,GRCh38___ENSG00000120837,Gene Expression,3873
GRCh38___TXNRD1,GRCh38___ENSG00000198431,Gene Expression,14226
GRCh38___EID3,GRCh38___ENSG00000255150,Gene Expression,4468
GRCh38___CHST11,GRCh38___ENSG00000171310,Gene Expression,11047
GRCh38___SLC41A2,GRCh38___ENSG00000136052,Gene Expression,432
GRCh38___C12orf45,GRCh38___ENSG00000151131,Gene Expression,7965
GRCh38___ALDH1L2,GRCh38___ENSG00000136010,Gene Expression,27
GRCh38___AC016257.1,GRCh38___ENSG00000257999,Gene Expression,6
GRCh38___WASHC4,GRCh38___ENSG00000136051,Gene Expression,16350
GRCh38___APPL2,GRCh38___ENSG00000136044,Gene Expression,3603
GRCh38___C12orf75,GRCh38___ENSG00000235162,Gene Expression,35063
GRCh38___AC011313.1,GRCh38___ENSG00000257642,Gene Expression,111
GRCh38___NUAK1,GRCh38___ENSG00000074590,Gene Expression,326
GRCh38___CKAP4,GRCh38___ENSG00000136026,Gene Expression,5575
GRCh38___AC079174.2,GRCh38___ENSG00000277715,Gene Expression,65
GRCh38___TCP11L2,GRCh38___ENSG00000166046,Gene Expression,9320
GRCh38___POLR3B,GRCh38___ENSG00000013503,Gene Expression,2092
GRCh38___AC079385.1,GRCh38___ENSG00000257545,Gene Expression,117
GRCh38___AC079385.2,GRCh38___ENSG00000257711,Gene Expression,3
GRCh38___AC079385.3,GRCh38___ENSG00000257918,Gene Expression,15
GRCh38___RIC8B,GRCh38___ENSG00000111785,Gene Expression,2795
GRCh38___AC007541.1,GRCh38___ENSG00000260329,Gene Expression,365
GRCh38___TMEM263,GRCh38___ENSG00000151135,Gene Expression,9828
GRCh38___MTERF2,GRCh38___ENSG00000120832,Gene Expression,2064
GRCh38___CRY1,GRCh38___ENSG00000008405,Gene Expression,12541
GRCh38___BTBD11,GRCh38___ENSG00000151136,Gene Expression,1925
GRCh38___PWP1,GRCh38___ENSG00000136045,Gene Expression,25637
GRCh38___PRDM4,GRCh38___ENSG00000110851,Gene Expression,4916
GRCh38___AC007622.2,GRCh38___ENSG00000258136,Gene Expression,47
GRCh38___ASCL4,GRCh38___ENSG00000187855,Gene Expression,11
GRCh38___WSCD2,GRCh38___ENSG00000075035,Gene Expression,31
GRCh38___CMKLR1,GRCh38___ENSG00000174600,Gene Expression,1443
GRCh38___FICD,GRCh38___ENSG00000198855,Gene Expression,2268
GRCh38___SART3,GRCh38___ENSG00000075856,Gene Expression,10765
GRCh38___ISCU,GRCh38___ENSG00000136003,Gene Expression,46827
GRCh38___TMEM119,GRCh38___ENSG00000183160,Gene Expression,168
GRCh38___SELPLG,GRCh38___ENSG00000110876,Gene Expression,42943
GRCh38___AC007569.1,GRCh38___ENSG00000257221,Gene Expression,532
GRCh38___CORO1C,GRCh38___ENSG00000110880,Gene Expression,9961
GRCh38___SSH1,GRCh38___ENSG00000084112,Gene Expression,10122
GRCh38___DAO,GRCh38___ENSG00000110887,Gene Expression,9
GRCh38___SVOP,GRCh38___ENSG00000166111,Gene Expression,3
GRCh38___USP30,GRCh38___ENSG00000135093,Gene Expression,3553
GRCh38___USP30-AS1,GRCh38___ENSG00000256262,Gene Expression,7700
GRCh38___ALKBH2,GRCh38___ENSG00000189046,Gene Expression,3327
GRCh38___UNG,GRCh38___ENSG00000076248,Gene Expression,5423
GRCh38___ACACB,GRCh38___ENSG00000076555,Gene Expression,824
GRCh38___MYO1H,GRCh38___ENSG00000174527,Gene Expression,4
GRCh38___AC007570.1,GRCh38___ENSG00000255655,Gene Expression,6
GRCh38___KCTD10,GRCh38___ENSG00000110906,Gene Expression,5802
GRCh38___UBE3B,GRCh38___ENSG00000151148,Gene Expression,5871
GRCh38___MMAB,GRCh38___ENSG00000139428,Gene Expression,7417
GRCh38___MVK,GRCh38___ENSG00000110921,Gene Expression,3559
GRCh38___FAM222A,GRCh38___ENSG00000139438,Gene Expression,126
GRCh38___TRPV4,GRCh38___ENSG00000111199,Gene Expression,435
GRCh38___GLTP,GRCh38___ENSG00000139433,Gene Expression,23332
GRCh38___AC007834.1,GRCh38___ENSG00000249094,Gene Expression,12
GRCh38___TCHP,GRCh38___ENSG00000139437,Gene Expression,11182
GRCh38___GIT2,GRCh38___ENSG00000139436,Gene Expression,22485
GRCh38___AC084876.1,GRCh38___ENSG00000277299,Gene Expression,24
GRCh38___ANKRD13A,GRCh38___ENSG00000076513,Gene Expression,9131
GRCh38___C12orf76,GRCh38___ENSG00000174456,Gene Expression,8678
GRCh38___IFT81,GRCh38___ENSG00000122970,Gene Expression,540
GRCh38___ATP2A2,GRCh38___ENSG00000174437,Gene Expression,12287
GRCh38___ANAPC7,GRCh38___ENSG00000196510,Gene Expression,7119
GRCh38___ARPC3,GRCh38___ENSG00000111229,Gene Expression,76210
GRCh38___GPN3,GRCh38___ENSG00000111231,Gene Expression,6705
GRCh38___FAM216A,GRCh38___ENSG00000204856,Gene Expression,2022
GRCh38___VPS29,GRCh38___ENSG00000111237,Gene Expression,31902
GRCh38___RAD9B,GRCh38___ENSG00000151164,Gene Expression,120
GRCh38___PPTC7,GRCh38___ENSG00000196850,Gene Expression,9359
GRCh38___TCTN1,GRCh38___ENSG00000204852,Gene Expression,1400
GRCh38___HVCN1,GRCh38___ENSG00000122986,Gene Expression,7328
GRCh38___PPP1CC,GRCh38___ENSG00000186298,Gene Expression,31689
GRCh38___CCDC63,GRCh38___ENSG00000173093,Gene Expression,7
GRCh38___CUX2,GRCh38___ENSG00000111249,Gene Expression,97
GRCh38___PHETA1,GRCh38___ENSG00000198324,Gene Expression,836
GRCh38___LINC02356,GRCh38___ENSG00000257595,Gene Expression,253
GRCh38___SH2B3,GRCh38___ENSG00000111252,Gene Expression,10450
GRCh38___ATXN2,GRCh38___ENSG00000204842,Gene Expression,6170
GRCh38___ATXN2-AS,GRCh38___ENSG00000258099,Gene Expression,49
GRCh38___BRAP,GRCh38___ENSG00000089234,Gene Expression,11095
GRCh38___ACAD10,GRCh38___ENSG00000111271,Gene Expression,2860
GRCh38___AC002996.1,GRCh38___ENSG00000257767,Gene Expression,4
GRCh38___ALDH2,GRCh38___ENSG00000111275,Gene Expression,13568
GRCh38___MAPKAPK5-AS1,GRCh38___ENSG00000234608,Gene Expression,18323
GRCh38___MAPKAPK5,GRCh38___ENSG00000089022,Gene Expression,6260
GRCh38___TMEM116,GRCh38___ENSG00000198270,Gene Expression,3421
GRCh38___ERP29,GRCh38___ENSG00000089248,Gene Expression,60726
GRCh38___AC073575.2,GRCh38___ENSG00000274227,Gene Expression,148
GRCh38___NAA25,GRCh38___ENSG00000111300,Gene Expression,9429
GRCh38___AC073575.1,GRCh38___ENSG00000258323,Gene Expression,10
GRCh38___TRAFD1,GRCh38___ENSG00000135148,Gene Expression,13585
GRCh38___HECTD4,GRCh38___ENSG00000173064,Gene Expression,6660
GRCh38___AC004217.1,GRCh38___ENSG00000257494,Gene Expression,8
GRCh38___RPL6,GRCh38___ENSG00000089009,Gene Expression,85317
GRCh38___PTPN11,GRCh38___ENSG00000179295,Gene Expression,18138
GRCh38___RPH3A,GRCh38___ENSG00000089169,Gene Expression,860
GRCh38___OAS1,GRCh38___ENSG00000089127,Gene Expression,18544
GRCh38___OAS3,GRCh38___ENSG00000111331,Gene Expression,12250
GRCh38___OAS2,GRCh38___ENSG00000111335,Gene Expression,17926
GRCh38___DTX1,GRCh38___ENSG00000135144,Gene Expression,296
GRCh38___RASAL1,GRCh38___ENSG00000111344,Gene Expression,173
GRCh38___CFAP73,GRCh38___ENSG00000186710,Gene Expression,94
GRCh38___DDX54,GRCh38___ENSG00000123064,Gene Expression,19775
GRCh38___RITA1,GRCh38___ENSG00000139405,Gene Expression,6161
GRCh38___IQCD,GRCh38___ENSG00000166578,Gene Expression,165
GRCh38___TPCN1,GRCh38___ENSG00000186815,Gene Expression,4065
GRCh38___SLC8B1,GRCh38___ENSG00000089060,Gene Expression,5998
GRCh38___PLBD2,GRCh38___ENSG00000151176,Gene Expression,3924
GRCh38___SDS,GRCh38___ENSG00000135094,Gene Expression,503
GRCh38___SDSL,GRCh38___ENSG00000139410,Gene Expression,1950
GRCh38___LINC01234,GRCh38___ENSG00000249550,Gene Expression,5
GRCh38___RBM19,GRCh38___ENSG00000122965,Gene Expression,9063
GRCh38___AC073863.1,GRCh38___ENSG00000257359,Gene Expression,640
GRCh38___TBX3,GRCh38___ENSG00000135111,Gene Expression,15
GRCh38___MED13L,GRCh38___ENSG00000123066,Gene Expression,14975
GRCh38___AC012157.1,GRCh38___ENSG00000258034,Gene Expression,4
GRCh38___MAP1LC3B2,GRCh38___ENSG00000258102,Gene Expression,179
GRCh38___AC125603.3,GRCh38___ENSG00000258249,Gene Expression,6
GRCh38___C12orf49,GRCh38___ENSG00000111412,Gene Expression,3136
GRCh38___RNFT2,GRCh38___ENSG00000135119,Gene Expression,194
GRCh38___HRK,GRCh38___ENSG00000135116,Gene Expression,277
GRCh38___FBXW8,GRCh38___ENSG00000174989,Gene Expression,1678
GRCh38___AC127164.1,GRCh38___ENSG00000257279,Gene Expression,21
GRCh38___TESC,GRCh38___ENSG00000088992,Gene Expression,9315
GRCh38___TESC-AS1,GRCh38___ENSG00000258285,Gene Expression,17
GRCh38___FBXO21,GRCh38___ENSG00000135108,Gene Expression,16114
GRCh38___KSR2,GRCh38___ENSG00000171435,Gene Expression,19
GRCh38___RFC5,GRCh38___ENSG00000111445,Gene Expression,5254
GRCh38___AC131159.2,GRCh38___ENSG00000277873,Gene Expression,17
GRCh38___WSB2,GRCh38___ENSG00000176871,Gene Expression,3854
GRCh38___VSIG10,GRCh38___ENSG00000176834,Gene Expression,625
GRCh38___PEBP1,GRCh38___ENSG00000089220,Gene Expression,41631
GRCh38___TAOK3,GRCh38___ENSG00000135090,Gene Expression,39680
GRCh38___AC026367.1,GRCh38___ENSG00000270482,Gene Expression,3
GRCh38___SUDS3,GRCh38___ENSG00000111707,Gene Expression,12762
GRCh38___AC026367.3,GRCh38___ENSG00000275759,Gene Expression,66
GRCh38___AC026367.2,GRCh38___ENSG00000275409,Gene Expression,22
GRCh38___AC002070.1,GRCh38___ENSG00000248636,Gene Expression,46
GRCh38___PRKAB1,GRCh38___ENSG00000111725,Gene Expression,5092
GRCh38___CIT,GRCh38___ENSG00000122966,Gene Expression,1433
GRCh38___BICDL1,GRCh38___ENSG00000135127,Gene Expression,4166
GRCh38___RAB35,GRCh38___ENSG00000111737,Gene Expression,14251
GRCh38___AC004812.2,GRCh38___ENSG00000277283,Gene Expression,965
GRCh38___GCN1,GRCh38___ENSG00000089154,Gene Expression,7621
GRCh38___RPLP0,GRCh38___ENSG00000089157,Gene Expression,83360
GRCh38___PXN-AS1,GRCh38___ENSG00000255857,Gene Expression,1730
GRCh38___PXN,GRCh38___ENSG00000089159,Gene Expression,28093
GRCh38___AC004263.1,GRCh38___ENSG00000275936,Gene Expression,5
GRCh38___SIRT4,GRCh38___ENSG00000089163,Gene Expression,204
GRCh38___PLA2G1B,GRCh38___ENSG00000170890,Gene Expression,66
