,feature_types
LRCH2,Gene Expression
PLS3-AS1,Gene Expression
PLS3,Gene Expression
DANT2,Gene Expression
KLHL13,Gene Expression
WDR44,Gene Expression
DOCK11,Gene Expression
IL13RA1,Gene Expression
ZCCHC12,Gene Expression
LINC01285,Gene Expression
LONRF3,Gene Expression
KIAA1210,Gene Expression
PGRMC1,Gene Expression
AC004835.1,Gene Expression
AC004973.1,Gene Expression
SLC25A43,Gene Expression
SLC25A5,Gene Expression
CXorf56,Gene Expression
UBE2A,Gene Expression
NKRF,Gene Expression
SOWAHD,Gene Expression
RPL39,Gene Expression
UPF3B,Gene Expression
RNF113A,Gene Expression
NDUFA1,Gene Expression
AKAP14,Gene Expression
NKAP,Gene Expression
RHOXF1-AS1,Gene Expression
RHOXF2B,Gene Expression
RHOXF1,Gene Expression
LINC01402,Gene Expression
RHOXF2,Gene Expression
ZBTB33,Gene Expression
TMEM255A,Gene Expression
ATP1B4,Gene Expression
LAMP2,Gene Expression
CUL4B,Gene Expression
AL359851.1,Gene Expression
GRIA3,Gene Expression
THOC2,Gene Expression
XIAP,Gene Expression
XIAP-AS1,Gene Expression
AL121601.1,Gene Expression
STAG2,Gene Expression
SH2D1A,Gene Expression
TEX13D,Gene Expression
TENM1,Gene Expression
AL445072.1,Gene Expression
DCAF12L2,Gene Expression
AL591643.1,Gene Expression
SMARCA1,Gene Expression
OCRL,Gene Expression
APLN,Gene Expression
XPNPEP2,Gene Expression
SASH3,Gene Expression
ZDHHC9,Gene Expression
AL034405.1,Gene Expression
UTP14A,Gene Expression
BCORL1,Gene Expression
ELF4,Gene Expression
AIFM1,Gene Expression
RAB33A,Gene Expression
ZNF280C,Gene Expression
SLC25A14,Gene Expression
RBMX2,Gene Expression
ENOX2,Gene Expression
IGSF1,Gene Expression
FIRRE,Gene Expression
STK26,Gene Expression
FRMD7,Gene Expression
RAP2C,Gene Expression
RAP2C-AS1,Gene Expression
MBNL3,Gene Expression
HS6ST2,Gene Expression
GPC4,Gene Expression
GPC3,Gene Expression
CCDC160,Gene Expression
PHF6,Gene Expression
HPRT1,Gene Expression
MIR503HG,Gene Expression
LINC00629,Gene Expression
PLAC1,Gene Expression
AL672032.1,Gene Expression
FAM122B,Gene Expression
FAM122C,Gene Expression
MOSPD1,Gene Expression
SMIM10,Gene Expression
RTL8B,Gene Expression
RTL8C,Gene Expression
RTL8A,Gene Expression
SMIM10L2B-AS1,Gene Expression
SMIM10L2B,Gene Expression
CT55,Gene Expression
ZNF75D,Gene Expression
AL590282.2,Gene Expression
ZNF449,Gene Expression
SMIM10L2A,Gene Expression
INTS6L-AS1,Gene Expression
INTS6L,Gene Expression
CT45A10,Gene Expression
SAGE1,Gene Expression
MMGT1,Gene Expression
SLC9A6,Gene Expression
FHL1,Gene Expression
MAP7D3,Gene Expression
HTATSF1,Gene Expression
CD40LG,Gene Expression
ARHGEF6,Gene Expression
RBMX,Gene Expression
GPR101,Gene Expression
Z96074.1,Gene Expression
FGF13,Gene Expression
MCF2,Gene Expression
ATP11C,Gene Expression
LINC00632,Gene Expression
LDOC1,Gene Expression
SPANXA2-OT1,Gene Expression
SPANXN4,Gene Expression
SLITRK4,Gene Expression
SLITRK2,Gene Expression
L29074.1,Gene Expression
FMR1,Gene Expression
FMR1NB,Gene Expression
AFF2,Gene Expression
IDS,Gene Expression
AC244197.2,Gene Expression
LINC00893,Gene Expression
HSFX3,Gene Expression
MAGEA9B,Gene Expression
HSFX2,Gene Expression
TMEM185A,Gene Expression
MAGEA11,Gene Expression
HSFX1,Gene Expression
LINC00850,Gene Expression
MAGEA8-AS1,Gene Expression
MAGEA8,Gene Expression
HSFX4,Gene Expression
LINC00894,Gene Expression
MAMLD1,Gene Expression
MTM1,Gene Expression
MTMR1,Gene Expression
CD99L2,Gene Expression
HMGB3,Gene Expression
VMA21,Gene Expression
BX546450.2,Gene Expression
BX546450.1,Gene Expression
PRRG3,Gene Expression
MAGEA4-AS1,Gene Expression
MAGEA4,Gene Expression
GABRE,Gene Expression
CSAG2,Gene Expression
CSAG1,Gene Expression
CSAG3,Gene Expression
CETN2,Gene Expression
NSDHL,Gene Expression
ZNF185,Gene Expression
PNMA5,Gene Expression
PNMA3,Gene Expression
PNMA6A,Gene Expression
AC236972.3,Gene Expression
PNMA6F,Gene Expression
ZNF275,Gene Expression
PNMA6E,Gene Expression
ZFP92,Gene Expression
TREX2,Gene Expression
HAUS7,Gene Expression
ATP2B3,Gene Expression
CCNQ,Gene Expression
DUSP9,Gene Expression
PNCK,Gene Expression
SLC6A8,Gene Expression
BCAP31,Gene Expression
ABCD1,Gene Expression
U52111.1,Gene Expression
PLXNB3,Gene Expression
SRPK3,Gene Expression
IDH3G,Gene Expression
SSR4,Gene Expression
PDZD4,Gene Expression
L1CAM,Gene Expression
AVPR2,Gene Expression
ARHGAP4,Gene Expression
NAA10,Gene Expression
RENBP,Gene Expression
HCFC1,Gene Expression
HCFC1-AS1,Gene Expression
TMEM187,Gene Expression
IRAK1,Gene Expression
MECP2,Gene Expression
OPN1MW3,Gene Expression
TEX28,Gene Expression
TKTL1,Gene Expression
AC245140.1,Gene Expression
FLNA,Gene Expression
AC245140.3,Gene Expression
EMD,Gene Expression
RPL10,Gene Expression
AC245140.2,Gene Expression
DNASE1L1,Gene Expression
TAZ,Gene Expression
ATP6AP1,Gene Expression
GDI1,Gene Expression
FAM50A,Gene Expression
PLXNA3,Gene Expression
LAGE3,Gene Expression
UBL4A,Gene Expression
SLC10A3,Gene Expression
FAM3A,Gene Expression
G6PD,Gene Expression
IKBKG,Gene Expression
FAM223A,Gene Expression
CTAG1A,Gene Expression
CTAG1B,Gene Expression
FAM223B,Gene Expression
CTAG2,Gene Expression
GAB3,Gene Expression
DKC1,Gene Expression
MPP1,Gene Expression
SMIM9,Gene Expression
F8,Gene Expression
F8A1,Gene Expression
FUNDC2,Gene Expression
CMC4,Gene Expression
MTCP1,Gene Expression
BRCC3,Gene Expression
VBP1,Gene Expression
RAB39B,Gene Expression
CLIC2,Gene Expression
AC234781.1,Gene Expression
F8A2,Gene Expression
F8A3,Gene Expression
TMLHE-AS1,Gene Expression
BX571846.1,Gene Expression
TMLHE,Gene Expression
SPRY3,Gene Expression
VAMP7,Gene Expression
IL9R,Gene Expression
WASIR1,Gene Expression
ZNF596,Gene Expression
AC004908.1,Gene Expression
AC004908.3,Gene Expression
AC136777.1,Gene Expression
FAM87A,Gene Expression
FBXO25,Gene Expression
AC083964.1,Gene Expression
TDRP,Gene Expression
ERICH1,Gene Expression
DLGAP2,Gene Expression
AC129915.3,Gene Expression
AF067845.1,Gene Expression
AF067845.5,Gene Expression
CLN8,Gene Expression
AC100810.3,Gene Expression
AC100810.1,Gene Expression
KBTBD11-OT1,Gene Expression
ARHGEF10,Gene Expression
AC019257.1,Gene Expression
KBTBD11,Gene Expression
AC019257.2,Gene Expression
AC245164.1,Gene Expression
MYOM2,Gene Expression
AC245123.1,Gene Expression
AC246817.2,Gene Expression
AC246817.1,Gene Expression
CSMD1,Gene Expression
AC009435.1,Gene Expression
AC016065.1,Gene Expression
MCPH1,Gene Expression
ANGPT2,Gene Expression
AF287957.1,Gene Expression
MCPH1-AS1,Gene Expression
AGPAT5,Gene Expression
XKR5,Gene Expression
DEFB1,Gene Expression
AF233439.1,Gene Expression
DEFA4,Gene Expression
DEFA1B,Gene Expression
DEFA3,Gene Expression
FAM66B,Gene Expression
FAM66E,Gene Expression
FAM85B,Gene Expression
AC068020.1,Gene Expression
PRAG1,Gene Expression
AC103957.1,Gene Expression
AC103957.2,Gene Expression
CLDN23,Gene Expression
AC087269.1,Gene Expression
MFHAS1,Gene Expression
ERI1,Gene Expression
PPP1R3B,Gene Expression
AC022784.6,Gene Expression
AC022784.1,Gene Expression
AC022784.3,Gene Expression
AC021242.3,Gene Expression
TNKS,Gene Expression
AC034111.1,Gene Expression
MSRA,Gene Expression
AC104964.1,Gene Expression
PRSS51,Gene Expression
PRSS55,Gene Expression
RP1L1,Gene Expression
SOX7,Gene Expression
PINX1,Gene Expression
AC105001.1,Gene Expression
AC011008.1,Gene Expression
XKR6,Gene Expression
AF131215.3,Gene Expression
AF131215.7,Gene Expression
AF131216.4,Gene Expression
MTMR9,Gene Expression
AF131216.1,Gene Expression
SLC35G5,Gene Expression
AF131216.3,Gene Expression
FAM167A-AS1,Gene Expression
FAM167A,Gene Expression
AF131216.5,Gene Expression
BLK,Gene Expression
AC022239.1,Gene Expression
C8orf49,Gene Expression
NEIL2,Gene Expression
FDFT1,Gene Expression
AC069185.1,Gene Expression
CTSB,Gene Expression
FAM66D,Gene Expression
USP17L2,Gene Expression
FAM86B1,Gene Expression
AC145124.1,Gene Expression
FAM66A,Gene Expression
AC087203.3,Gene Expression
FAM86B2,Gene Expression
AC130352.1,Gene Expression
LONRF1,Gene Expression
AC123777.1,Gene Expression
TRMT9B,Gene Expression
DLC1,Gene Expression
AC019270.1,Gene Expression
C8orf48,Gene Expression
SGCZ,Gene Expression
TUSC3,Gene Expression
MSR1,Gene Expression
AC011586.1,Gene Expression
FGF20,Gene Expression
MICU3,Gene Expression
AC079193.2,Gene Expression
ZDHHC2,Gene Expression
CNOT7,Gene Expression
VPS37A,Gene Expression
MTMR7,Gene Expression
PDGFRL,Gene Expression
MTUS1,Gene Expression
AC027117.2,Gene Expression
FGL1,Gene Expression
AC087273.2,Gene Expression
PCM1,Gene Expression
ASAH1,Gene Expression
AC124242.1,Gene Expression
NAT1,Gene Expression
NAT2,Gene Expression
PSD3,Gene Expression
AC100800.1,Gene Expression
AC100849.1,Gene Expression
AC100849.2,Gene Expression
SH2D4A,Gene Expression
CSGALNACT1,Gene Expression
INTS10,Gene Expression
LPL,Gene Expression
SLC18A1,Gene Expression
ATP6V1B2,Gene Expression
LZTS1,Gene Expression
AC015468.3,Gene Expression
AC015468.1,Gene Expression
AC103719.1,Gene Expression
GFRA2,Gene Expression
DOK2,Gene Expression
XPO7,Gene Expression
NPM2,Gene Expression
FGF17,Gene Expression
DMTN,Gene Expression
FAM160B2,Gene Expression
NUDT18,Gene Expression
HR,Gene Expression
REEP4,Gene Expression
LGI3,Gene Expression
SFTPC,Gene Expression
BMP1,Gene Expression
PHYHIP,Gene Expression
POLR3D,Gene Expression
AC105206.2,Gene Expression
PIWIL2,Gene Expression
SLC39A14,Gene Expression
PPP3CC,Gene Expression
SORBS3,Gene Expression
AC037459.3,Gene Expression
PDLIM2,Gene Expression
C8orf58,Gene Expression
CCAR2,Gene Expression
AC037459.2,Gene Expression
BIN3,Gene Expression
EGR3,Gene Expression
PEBP4,Gene Expression
AC107959.1,Gene Expression
RHOBTB2,Gene Expression
TNFRSF10B,Gene Expression
AC107959.2,Gene Expression
AC107959.3,Gene Expression
TNFRSF10C,Gene Expression
TNFRSF10D,Gene Expression
TNFRSF10A-AS1,Gene Expression
TNFRSF10A,Gene Expression
AC100861.2,Gene Expression
CHMP7,Gene Expression
R3HCC1,Gene Expression
LOXL2,Gene Expression
ENTPD4,Gene Expression
AC104561.1,Gene Expression
AC104561.3,Gene Expression
SLC25A37,Gene Expression
NKX3-1,Gene Expression
STC1,Gene Expression
AC023202.1,Gene Expression
ADAM28,Gene Expression
AC120193.1,Gene Expression
ADAMDEC1,Gene Expression
AF106564.1,Gene Expression
NEFM,Gene Expression
NEFL,Gene Expression
AC107373.2,Gene Expression
DOCK5,Gene Expression
GNRH1,Gene Expression
AC091185.1,Gene Expression
KCTD9,Gene Expression
CDCA2,Gene Expression
EBF2,Gene Expression
PPP2R2A,Gene Expression
BNIP3L,Gene Expression
PNMA2,Gene Expression
DPYSL2,Gene Expression
ADRA1A,Gene Expression
STMN4,Gene Expression
TRIM35,Gene Expression
PTK2B,Gene Expression
CHRNA2,Gene Expression
EPHX2,Gene Expression
CLU,Gene Expression
SCARA3,Gene Expression
CCDC25,Gene Expression
AC013643.2,Gene Expression
ESCO2,Gene Expression
PBK,Gene Expression
SCARA5,Gene Expression
NUGGC,Gene Expression
ELP3,Gene Expression
AC021678.2,Gene Expression
PNOC,Gene Expression
ZNF395,Gene Expression
FBXO16,Gene Expression
FZD3,Gene Expression
EXTL3,Gene Expression
EXTL3-AS1,Gene Expression
INTS9,Gene Expression
INTS9-AS1,Gene Expression
HMBOX1,Gene Expression
KIF13B,Gene Expression
AC108449.3,Gene Expression
AC108449.1,Gene Expression
DUSP4,Gene Expression
AC084026.2,Gene Expression
AC084026.1,Gene Expression
LINC00589,Gene Expression
LINC02099,Gene Expression
SARAF,Gene Expression
AC044849.1,Gene Expression
LEPROTL1,Gene Expression
MBOAT4,Gene Expression
AC026979.2,Gene Expression
DCTN6,Gene Expression
AC026979.1,Gene Expression
AC026979.3,Gene Expression
RBPMS-AS1,Gene Expression
RBPMS,Gene Expression
GTF2E2,Gene Expression
AC102945.1,Gene Expression
SMIM18,Gene Expression
GSR,Gene Expression
UBXN8,Gene Expression
PPP2CB,Gene Expression
TEX15,Gene Expression
PURG,Gene Expression
WRN,Gene Expression
AC009563.1,Gene Expression
NRG1,Gene Expression
AC090204.1,Gene Expression
AC067838.1,Gene Expression
FUT10,Gene Expression
TTI2,Gene Expression
MAK16,Gene Expression
RNF122,Gene Expression
DUSP26,Gene Expression
AF279873.3,Gene Expression
LINC01605,Gene Expression
AC124067.4,Gene Expression
ZNF703,Gene Expression
AC138356.1,Gene Expression
ERLIN2,Gene Expression
PLPBP,Gene Expression
ADGRA2,Gene Expression
BRF2,Gene Expression
RAB11FIP1,Gene Expression
ADRB3,Gene Expression
EIF4EBP1,Gene Expression
AP006545.2,Gene Expression
ASH2L,Gene Expression
AC084024.1,Gene Expression
STAR,Gene Expression
AC084024.3,Gene Expression
LSM1,Gene Expression
BAG4,Gene Expression
DDHD2,Gene Expression
PLPP5,Gene Expression
NSD3,Gene Expression
AC087362.2,Gene Expression
AC087362.1,Gene Expression
AC087623.2,Gene Expression
LETM2,Gene Expression
AC087623.3,Gene Expression
FGFR1,Gene Expression
AC087623.1,Gene Expression
C8orf86,Gene Expression
TACC1,Gene Expression
AC067817.2,Gene Expression
PLEKHA2,Gene Expression
HTRA4,Gene Expression
TM2D2,Gene Expression
ADAM9,Gene Expression
ADAM32,Gene Expression
IDO1,Gene Expression
AC007991.4,Gene Expression
IDO2,Gene Expression
AC010857.1,Gene Expression
ZMAT4,Gene Expression
SFRP1,Gene Expression
GOLGA7,Gene Expression
GINS4,Gene Expression
AC009630.1,Gene Expression
AC009630.2,Gene Expression
GPAT4,Gene Expression
AC009630.3,Gene Expression
NKX6-3,Gene Expression
ANK1,Gene Expression
AC113133.1,Gene Expression
AC027702.1,Gene Expression
KAT6A,Gene Expression
AC103724.4,Gene Expression
AC103724.3,Gene Expression
AP3M2,Gene Expression
PLAT,Gene Expression
AC083973.1,Gene Expression
IKBKB,Gene Expression
POLB,Gene Expression
DKK4,Gene Expression
VDAC3,Gene Expression
SLC20A2,Gene Expression
AC090739.1,Gene Expression
SMIM19,Gene Expression
CHRNB3,Gene Expression
AC103843.1,Gene Expression
CHRNA6,Gene Expression
THAP1,Gene Expression
RNF170,Gene Expression
HOOK3,Gene Expression
FNTA,Gene Expression
POMK,Gene Expression
HGSNAT,Gene Expression
SPIDR,Gene Expression
CEBPD,Gene Expression
PRKDC,Gene Expression
MCM4,Gene Expression
UBE2V2,Gene Expression
AC026904.1,Gene Expression
AC026904.2,Gene Expression
EFCAB1,Gene Expression
SNTG1,Gene Expression
AC012413.1,Gene Expression
PXDNL,Gene Expression
AC090186.1,Gene Expression
PCMTD1,Gene Expression
AC064807.1,Gene Expression
AC064807.4,Gene Expression
AC064807.2,Gene Expression
ST18,Gene Expression
AC021915.2,Gene Expression
AC103831.1,Gene Expression
ALKAL1,Gene Expression
RB1CC1,Gene Expression
AC009646.2,Gene Expression
OPRK1,Gene Expression
ATP6V1H,Gene Expression
RGS20,Gene Expression
TCEA1,Gene Expression
AC100821.2,Gene Expression
LYPLA1,Gene Expression
MRPL15,Gene Expression
SOX17,Gene Expression
RP1,Gene Expression
XKR4,Gene Expression
TMEM68,Gene Expression
TGS1,Gene Expression
LYN,Gene Expression
RPS20,Gene Expression
CERNA3,Gene Expression
PLAG1,Gene Expression
CHCHD7,Gene Expression
AC107952.2,Gene Expression
SDR16C5,Gene Expression
PENK,Gene Expression
AC012349.1,Gene Expression
LINC00968,Gene Expression
AC013644.1,Gene Expression
LINC01606,Gene Expression
AC090796.1,Gene Expression
AC104051.2,Gene Expression
AC012103.1,Gene Expression
LINC01602,Gene Expression
FAM110B,Gene Expression
UBXN2B,Gene Expression
CYP7A1,Gene Expression
SDCBP,Gene Expression
NSMAF,Gene Expression
TOX,Gene Expression
AC090152.1,Gene Expression
AC021393.1,Gene Expression
CA8,Gene Expression
LINC01301,Gene Expression
RAB2A,Gene Expression
AC068389.3,Gene Expression
AC068389.1,Gene Expression
AC068389.2,Gene Expression
CHD7,Gene Expression
AC113143.1,Gene Expression
AC022182.1,Gene Expression
AC022182.2,Gene Expression
CLVS1,Gene Expression
ASPH,Gene Expression
AC091173.1,Gene Expression
LINC02155,Gene Expression
NKAIN3,Gene Expression
AC120042.1,Gene Expression
GGH,Gene Expression
YTHDF3-AS1,Gene Expression
YTHDF3,Gene Expression
AC090136.3,Gene Expression
BHLHE22,Gene Expression
CYP7B1,Gene Expression
AC104232.1,Gene Expression
LINC01299,Gene Expression
AC100814.1,Gene Expression
ARMC1,Gene Expression
MTFR1,Gene Expression
AC055822.1,Gene Expression
PDE7A,Gene Expression
AC100812.1,Gene Expression
DNAJC5B,Gene Expression
AC084082.1,Gene Expression
TRIM55,Gene Expression
CRH,Gene Expression
RRS1-AS1,Gene Expression
RRS1,Gene Expression
ADHFE1,Gene Expression
VXN,Gene Expression
MYBL1,Gene Expression
VCPIP1,Gene Expression
SGK3,Gene Expression
MCMDC2,Gene Expression
TCF24,Gene Expression
PPP1R42,Gene Expression
COPS5,Gene Expression
CSPP1,Gene Expression
ARFGEF1,Gene Expression
AC021321.1,Gene Expression
CPA6,Gene Expression
PREX2,Gene Expression
C8orf34,Gene Expression
AC083967.1,Gene Expression
SULF1,Gene Expression
SLCO5A1,Gene Expression
AC079089.1,Gene Expression
PRDM14,Gene Expression
NCOA2,Gene Expression
AC022730.4,Gene Expression
TRAM1,Gene Expression
LACTB2-AS1,Gene Expression
LACTB2,Gene Expression
XKR9,Gene Expression
AC022858.1,Gene Expression
EYA1,Gene Expression
MSC-AS1,Gene Expression
MSC,Gene Expression
TRPA1,Gene Expression
AC078906.1,Gene Expression
TERF1,Gene Expression
AC022893.3,Gene Expression
AC022893.1,Gene Expression
SBSPON,Gene Expression
C8orf89,Gene Expression
RPL7,Gene Expression
RDH10,Gene Expression
RDH10-AS1,Gene Expression
STAU2-AS1,Gene Expression
STAU2,Gene Expression
AC027018.1,Gene Expression
UBE2W,Gene Expression
ELOC,Gene Expression
TMEM70,Gene Expression
LY96,Gene Expression
AC087672.2,Gene Expression
AC087627.1,Gene Expression
JPH1,Gene Expression
GDAP1,Gene Expression
MIR2052HG,Gene Expression
AC011632.1,Gene Expression
PI15,Gene Expression
CRISPLD1,Gene Expression
CASC9,Gene Expression
HNF4G,Gene Expression
ZFHX4,Gene Expression
PEX2,Gene Expression
PKIA-AS1,Gene Expression
PKIA,Gene Expression
ZC2HC1A,Gene Expression
IL7,Gene Expression
STMN2,Gene Expression
HEY1,Gene Expression
LINC01607,Gene Expression
AC036214.1,Gene Expression
MRPS28,Gene Expression
AC009686.2,Gene Expression
TPD52,Gene Expression
AC009686.1,Gene Expression
AC034114.2,Gene Expression
AC009812.1,Gene Expression
ZBTB10,Gene Expression
AC009812.3,Gene Expression
AC009812.4,Gene Expression
ZNF704,Gene Expression
PAG1,Gene Expression
AC022778.1,Gene Expression
AC079209.2,Gene Expression
AC079209.1,Gene Expression
AC009902.3,Gene Expression
AC009902.2,Gene Expression
FABP5,Gene Expression
FABP4,Gene Expression
IMPA1,Gene Expression
SLC10A5,Gene Expression
ZFAND1,Gene Expression
CHMP4C,Gene Expression
SNX16,Gene Expression
LINC02235,Gene Expression
LINC01419,Gene Expression
LRRCC1,Gene Expression
AC011773.4,Gene Expression
E2F5,Gene Expression
AC011773.1,Gene Expression
CA13,Gene Expression
AC011773.3,Gene Expression
CA1,Gene Expression
CA3,Gene Expression
CA3-AS1,Gene Expression
CA2,Gene Expression
AC100801.1,Gene Expression
ATP6V0D2,Gene Expression
WWP1,Gene Expression
RMDN1,Gene Expression
CPNE3,Gene Expression
CNBD1,Gene Expression
AC037450.1,Gene Expression
MMP16,Gene Expression
AC090578.1,Gene Expression
AF117829.1,Gene Expression
RIPK2,Gene Expression
OSGIN2,Gene Expression
NBN,Gene Expression
DECR1,Gene Expression
CALB1,Gene Expression
LINC00534,Gene Expression
LINC01030,Gene Expression
TMEM64,Gene Expression
AC106038.1,Gene Expression
NECAB1,Gene Expression
AC103770.1,Gene Expression
C8orf88,Gene Expression
PIP4P2,Gene Expression
AC087439.1,Gene Expression
OTUD6B-AS1,Gene Expression
OTUD6B,Gene Expression
LRRC69,Gene Expression
SLC26A7,Gene Expression
RUNX1T1,Gene Expression
AC104211.2,Gene Expression
AC117834.1,Gene Expression
TRIQK,Gene Expression
LINC00535,Gene Expression
AC120053.1,Gene Expression
AC010834.3,Gene Expression
RBM12B,Gene Expression
AC010834.1,Gene Expression
AC010834.2,Gene Expression
TMEM67,Gene Expression
AC084346.1,Gene Expression
PDP1,Gene Expression
CDH17,Gene Expression
GEM,Gene Expression
RAD54B,Gene Expression
FSBP,Gene Expression
VIRMA,Gene Expression
AC023632.5,Gene Expression
AC023632.2,Gene Expression
AC108860.2,Gene Expression
ESRP1,Gene Expression
DPY19L4,Gene Expression
AP003692.1,Gene Expression
INTS8,Gene Expression
CCNE2,Gene Expression
AC087752.4,Gene Expression
NDUFAF6,Gene Expression
TP53INP1,Gene Expression
MIR3150BHG,Gene Expression
AC068189.1,Gene Expression
PLEKHF2,Gene Expression
C8orf37-AS1,Gene Expression
C8orf37,Gene Expression
AC083836.1,Gene Expression
GDF6,Gene Expression
UQCRB,Gene Expression
AP003465.1,Gene Expression
MTERF3,Gene Expression
PTDSS1,Gene Expression
SDC2,Gene Expression
CPQ,Gene Expression
AP003117.2,Gene Expression
TSPYL5,Gene Expression
MTDH,Gene Expression
LAPTM4B,Gene Expression
MATN2,Gene Expression
RPL30,Gene Expression
AP003352.1,Gene Expression
ERICH5,Gene Expression
RIDA,Gene Expression
POP1,Gene Expression
NIPAL2,Gene Expression
STK3,Gene Expression
KCNS2,Gene Expression
AP003355.2,Gene Expression
OSR2,Gene Expression
AC016877.1,Gene Expression
VPS13B,Gene Expression
AC107909.2,Gene Expression
AC018442.2,Gene Expression
COX6C,Gene Expression
RGS22,Gene Expression
FBXO43,Gene Expression
POLR2K,Gene Expression
SPAG1,Gene Expression
RNF19A,Gene Expression
AP003472.1,Gene Expression
AP003472.2,Gene Expression
AP000424.1,Gene Expression
AP000424.2,Gene Expression
ANKRD46,Gene Expression
SNX31,Gene Expression
PABPC1,Gene Expression
YWHAZ,Gene Expression
AP003469.2,Gene Expression
AP003469.3,Gene Expression
ZNF706,Gene Expression
AP001330.1,Gene Expression
GRHL2,Gene Expression
NCALD,Gene Expression
AP000426.1,Gene Expression
RRM2B,Gene Expression
UBR5-AS1,Gene Expression
UBR5,Gene Expression
AP002907.1,Gene Expression
AP002852.1,Gene Expression
ODF1,Gene Expression
KLF10,Gene Expression
GASAL1,Gene Expression
AZIN1,Gene Expression
AP003696.1,Gene Expression
AP003354.1,Gene Expression
AP003550.1,Gene Expression
ATP6V1C1,Gene Expression
BAALC-AS2,Gene Expression
BAALC,Gene Expression
BAALC-AS1,Gene Expression
AC025370.1,Gene Expression
FZD6,Gene Expression
CTHRC1,Gene Expression
AC012213.3,Gene Expression
SLC25A32,Gene Expression
DCAF13,Gene Expression
AC012213.2,Gene Expression
AC012213.1,Gene Expression
RIMS2,Gene Expression
DPYS,Gene Expression
DCSTAMP,Gene Expression
LRP12,Gene Expression
ZFPM2,Gene Expression
AC021546.1,Gene Expression
OXR1,Gene Expression
AC090579.1,Gene Expression
ABRA,Gene Expression
ANGPT1,Gene Expression
RSPO2,Gene Expression
EIF3E,Gene Expression
AC087620.1,Gene Expression
EMC2,Gene Expression
TMEM74,Gene Expression
AC104248.1,Gene Expression
TRHR,Gene Expression
NUDCD1,Gene Expression
ENY2,Gene Expression
PKHD1L1,Gene Expression
EBAG9,Gene Expression
SYBU,Gene Expression
AC079061.1,Gene Expression
LINC01609,Gene Expression
CSMD3,Gene Expression
AC064802.1,Gene Expression
TRPS1,Gene Expression
AF178030.1,Gene Expression
LINC00536,Gene Expression
EIF3H,Gene Expression
UTP23,Gene Expression
RAD21,Gene Expression
RAD21-AS1,Gene Expression
AARD,Gene Expression
SLC30A8,Gene Expression
MED30,Gene Expression
EXT1,Gene Expression
SAMD12,Gene Expression
AC023590.1,Gene Expression
SAMD12-AS1,Gene Expression
TNFRSF11B,Gene Expression
MAL2,Gene Expression
ENPP2,Gene Expression
TAF2,Gene Expression
DSCC1,Gene Expression
AP005717.1,Gene Expression
DEPTOR,Gene Expression
AC091563.1,Gene Expression
COL14A1,Gene Expression
MRPL13,Gene Expression
MTBP,Gene Expression
SNTB1,Gene Expression
AC104958.1,Gene Expression
AC104958.2,Gene Expression
AC068413.1,Gene Expression
HAS2,Gene Expression
HAS2-AS1,Gene Expression
AC037486.1,Gene Expression
SMILR,Gene Expression
AC108136.1,Gene Expression
LINC01151,Gene Expression
AC016405.3,Gene Expression
AC016405.2,Gene Expression
ZHX2,Gene Expression
AC104316.2,Gene Expression
AC104316.1,Gene Expression
DERL1,Gene Expression
TBC1D31,Gene Expression
FAM83A,Gene Expression
AC068228.1,Gene Expression
FAM83A-AS1,Gene Expression
C8orf76,Gene Expression
ZHX1,Gene Expression
ATAD2,Gene Expression
FBXO32,Gene Expression
ANXA13,Gene Expression
FAM91A1,Gene Expression
FER1L6,Gene Expression
FER1L6-AS2,Gene Expression
AC090921.1,Gene Expression
AC090192.2,Gene Expression
TMEM65,Gene Expression
TRMT12,Gene Expression
RNF139-AS1,Gene Expression
RNF139,Gene Expression
TATDN1,Gene Expression
AC090198.1,Gene Expression
NDUFB9,Gene Expression
MTSS1,Gene Expression
AC100858.2,Gene Expression
LINC00964,Gene Expression
ZNF572,Gene Expression
AC009908.1,Gene Expression
SQLE,Gene Expression
WASHC5,Gene Expression
WASHC5-AS1,Gene Expression
NSMCE2,Gene Expression
AC084083.1,Gene Expression
TRIB1,Gene Expression
AC091114.1,Gene Expression
LINC00861,Gene Expression
AC087667.1,Gene Expression
AC084116.1,Gene Expression
AC084116.3,Gene Expression
PCAT1,Gene Expression
PRNCR1,Gene Expression
CASC8,Gene Expression
POU5F1B,Gene Expression
CCAT2,Gene Expression
CASC11,Gene Expression
MYC,Gene Expression
PVT1,Gene Expression
CCDC26,Gene Expression
AC103718.1,Gene Expression
GSDMC,Gene Expression
AC022973.4,Gene Expression
AC022973.3,Gene Expression
ASAP1,Gene Expression
AC104257.1,Gene Expression
EFR3A,Gene Expression
HHLA1,Gene Expression
KCNQ3,Gene Expression
HPYR1,Gene Expression
LRRC6,Gene Expression
TMEM71,Gene Expression
PHF20L1,Gene Expression
AF230666.1,Gene Expression
TG,Gene Expression
SLA,Gene Expression
NDRG1,Gene Expression
ST3GAL1,Gene Expression
AC103706.1,Gene Expression
AC110741.1,Gene Expression
AC105180.1,Gene Expression
ZFAT,Gene Expression
ZFAT-AS1,Gene Expression
AC087045.2,Gene Expression
AC083843.2,Gene Expression
AC083843.1,Gene Expression
AC103764.1,Gene Expression
KHDRBS3,Gene Expression
LINC02055,Gene Expression
AC046195.1,Gene Expression
