,feature_types
SH3D21,Gene Expression
EVA1B,Gene Expression
STK40,Gene Expression
LSM10,Gene Expression
OSCP1,Gene Expression
MRPS15,Gene Expression
CSF3R,Gene Expression
GRIK3,Gene Expression
AL353604.1,Gene Expression
LINC01137,Gene Expression
ZC3H12A,Gene Expression
MEAF6,Gene Expression
SNIP1,Gene Expression
DNALI1,Gene Expression
GNL2,Gene Expression
RSPO1,Gene Expression
C1orf109,Gene Expression
CDCA8,Gene Expression
EPHA10,Gene Expression
MANEAL,Gene Expression
AL929472.3,Gene Expression
YRDC,Gene Expression
C1orf122,Gene Expression
MTF1,Gene Expression
AL929472.2,Gene Expression
INPP5B,Gene Expression
SF3A3,Gene Expression
FHL3,Gene Expression
UTP11,Gene Expression
POU3F1,Gene Expression
LINC01685,Gene Expression
RRAGC,Gene Expression
AL139260.1,Gene Expression
MYCBP,Gene Expression
GJA9,Gene Expression
RHBDL2,Gene Expression
AKIRIN1,Gene Expression
NDUFS5,Gene Expression
MACF1,Gene Expression
AL442071.1,Gene Expression
BMP8A,Gene Expression
PABPC4,Gene Expression
HEYL,Gene Expression
NT5C1A,Gene Expression
HPCAL4,Gene Expression
PPIE,Gene Expression
BMP8B,Gene Expression
OXCT2,Gene Expression
AL033527.2,Gene Expression
AL033527.3,Gene Expression
TRIT1,Gene Expression
MYCL,Gene Expression
MFSD2A,Gene Expression
CAP1,Gene Expression
PPT1,Gene Expression
RLF,Gene Expression
TMCO2,Gene Expression
AL050341.2,Gene Expression
ZMPSTE24,Gene Expression
COL9A2,Gene Expression
SMAP2,Gene Expression
AL031985.4,Gene Expression
ZFP69B,Gene Expression
ZFP69,Gene Expression
AL603839.3,Gene Expression
EXO5,Gene Expression
AL603839.1,Gene Expression
AL603839.2,Gene Expression
ZNF684,Gene Expression
RIMS3,Gene Expression
AL031289.1,Gene Expression
NFYC-AS1,Gene Expression
NFYC,Gene Expression
KCNQ4,Gene Expression
CITED4,Gene Expression
AC119677.1,Gene Expression
CTPS1,Gene Expression
SLFNL1-AS1,Gene Expression
SLFNL1,Gene Expression
SCMH1,Gene Expression
AC093151.2,Gene Expression
EDN2,Gene Expression
HIVEP3,Gene Expression
GUCA2B,Gene Expression
GUCA2A,Gene Expression
FOXJ3,Gene Expression
RIMKLA,Gene Expression
ZMYND12,Gene Expression
PPCS,Gene Expression
CCDC30,Gene Expression
PPIH,Gene Expression
AC098484.2,Gene Expression
YBX1,Gene Expression
