,P1 Base,P1 Prog,P1 Conv,P2 Base,P2 Prog,P2 Conv,P3 Base,P3 Prog,P3 Conv,P4 Base,P4 Prog,P4 Conv,P5 Base,P5 Prog,P5 Conv
T_clonotype42,0,111,4,2,0,0,0,0,0,0,0,0,0,0,0
T_clonotype44,0,85,30,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype40,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype43,0,0,0,0,0,0,0,0,0,21,49,35,0,0,2
T_clonotype48,0,0,0,0,0,0,0,67,37,1,0,0,0,1,0
T_clonotype49,1,0,0,10,59,32,0,0,0,0,0,0,2,0,0
T_clonotype45,49,17,37,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype46,0,0,0,48,0,51,0,0,0,0,0,0,0,0,0
T_clonotype51,0,0,0,0,0,0,0,0,0,12,46,34,1,0,0
T_clonotype50,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype47,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype53,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype52,0,0,0,0,0,0,0,0,0,7,46,30,1,0,2
T_clonotype54,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype60,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype55,0,0,0,5,53,22,0,0,0,0,0,0,0,0,0
T_clonotype37,31,27,15,4,0,0,0,0,0,0,0,0,0,0,0
T_clonotype62,0,0,0,0,0,0,0,0,0,11,41,24,0,0,0
T_clonotype59,0,9,67,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype65,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype64,0,13,58,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype67,0,0,0,1,68,2,0,0,0,0,0,0,0,0,0
T_clonotype58,41,7,16,2,0,0,0,0,0,0,0,0,0,0,0
T_clonotype61,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype56,8,13,41,0,2,0,0,0,0,0,0,0,0,0,0
T_clonotype69,0,0,0,0,0,0,1,0,0,12,33,17,0,0,0
T_clonotype75,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype63,24,21,14,0,1,0,0,0,0,0,0,0,0,0,0
T_clonotype70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype68,0,45,14,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype76,22,17,18,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype80,0,0,0,0,0,0,0,0,0,3,32,22,0,0,0
T_clonotype78,0,0,0,0,0,0,0,30,24,0,0,0,0,0,0
T_clonotype74,0,0,0,5,7,37,0,0,0,0,0,3,1,0,0
T_clonotype57,1,20,32,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype66,0,0,0,15,14,22,0,0,0,0,0,0,1,0,0
T_clonotype83,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype77,0,0,0,1,19,31,0,0,0,0,0,0,0,0,0
T_clonotype71,39,3,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype82,0,0,0,0,0,1,10,24,15,0,0,0,0,0,0
T_clonotype81,0,0,0,1,31,16,0,0,0,0,0,0,0,0,0
T_clonotype84,0,0,0,0,0,0,0,27,21,0,0,0,0,0,0
T_clonotype85,0,0,0,9,23,15,0,0,0,0,0,0,0,0,0
T_clonotype91,0,0,0,1,31,14,0,0,0,0,0,0,0,0,0
T_clonotype86,0,0,0,0,0,0,10,23,12,0,0,0,0,0,0
T_clonotype92,0,0,0,0,0,0,0,0,0,6,18,21,0,0,0
T_clonotype96,0,0,0,1,30,13,0,0,0,0,0,0,0,0,0
T_clonotype98,0,0,0,0,0,0,0,0,0,12,18,13,0,1,0
T_clonotype99,0,0,0,0,0,0,0,0,0,12,25,6,0,0,1
T_clonotype93,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype97,0,0,0,0,0,0,0,0,0,5,17,21,0,0,0
T_clonotype94,0,0,0,0,0,0,0,0,0,4,20,18,0,1,0
T_clonotype73,30,8,2,1,0,0,0,0,0,0,0,0,0,0,0
